sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1654702749.11","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654702749.875793",0,0,1654702749,0,0,canceled,"0.194",,,,,,,,,,,
"1654702750.12","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654702750.834363",0,0,1654702750,0,0,canceled,"0.177",,,,,,,,,,,
"1654703221.15","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654703221.233987",0,0,1654703221,0,0,canceled,"0.223",,,,,,,,,,,
"1654706820.20","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654706820.647041",0,0,1654706820,0,0,canceled,"0.2",,,,,,,,,,,
"1654868820.3","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654868820.629676",0,0,1654868820,0,0,canceled,"0.216",,,,,,,,,,,
"1654872420.8","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654872420.638518",0,0,1654872420,0,0,canceled,"0.203",,,,,,,,,,,
"1654877221.11","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654877221.170993",0,0,1654877221,0,0,canceled,"0.198",,,,,,,,,,,
"1654935075.3","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654935075.173603",0,0,1654935075,0,0,canceled,"0.20700000000000002",,,,,,,,,,,
"1654935076.4","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654935076.052293",0,0,1654935076,0,0,canceled,"0.202",,,,,,,,,,,
"1654938915.5","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654938915.697282",0,0,1654938915,0,0,canceled,"0.195",,,,,,,,,,,
"1654940821.8","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654940821.117407",0,0,1654940821,0,0,canceled,"0.244",,,,,,,,,,,
"1654944420.13","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654944420.575617",0,0,1654944420,0,0,canceled,"0.198",,,,,,,,,,,
"1654948020.18","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654948020.686861",0,0,1654948020,0,0,canceled,"0.195",,,,,,,,,,,
"1654951621.23","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654951621.263851",0,0,1654951621,0,0,canceled,"0.254",,,,,,,,,,,
"1654955220.28","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654955220.729562",0,0,1654955220,0,0,canceled,"0.19",,,,,,,,,,,
"1654962510.29","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654962510.324929",0,0,1654962510,0,0,canceled,"0.2",,,,,,,,,,,
"1654962511.30","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654962511.314549",0,0,1654962511,0,0,canceled,"0.329",,,,,,,,,,,
"1655012820.3","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655012820.802692",0,0,1655012820,0,0,canceled,"0.229",,,,,,,,,,,
